    2: 0x004A7DB0  SetMapZoom
    3: 0x004A7E20  SetMapToCurrentZone
    4: 0x004A7E30  GetMapInfo
    5: 0x004A7ED0  GetCurrentMapContinent
    6: 0x004A7F00  GetCurrentMapZone
    7: 0x004A7F30  ProcessMapClick
    8: 0x004A7FA0  UpdateMapHighlight
    9: 0x004A8610  GetPlayerMapPosition
   10: 0x004A86D0  GetCorpseMapPosition
   11: 0x004A8710  GetNumMapLandmarks
   12: 0x004A8740  GetMapLandmarkInfo
   13: 0x004A88F0  GetWorldLocMapPosition
   14: 0x004A89D0  GetNumMapOverlays
   15: 0x004A8A00  GetMapOverlayInfo
   16: 0x004A8BB0  CreateWorldMapArrowFrame
   17: 0x004A8C60  CreateMiniWorldMapArrowFrame
   18: 0x004A8D10  UpdateWorldMapArrowFrames
   19: 0x004A8D20  PositionWorldMapArrowFrame
   20: 0x004A8F20  PositionMiniWorldMapArrowFrame
   21: 0x004A9120  ShowWorldMapArrowFrame
   22: 0x004A9170  ShowMiniWorldMapArrowFrame

=== Loop @ 0x004AC43F  Table 0x008457E0  Count=31 ===
    0: 0x004AB080  GetNumBattlefields
    1: 0x004AB0B0  GetBattlefieldInfo
    2: 0x004AB1F0  GetBattlefieldInstanceInfo
    3: 0x004AB290  JoinBattlefield
    4: 0x004AB300  SetSelectedBattlefield
    5: 0x004AB360  GetSelectedBattlefield
    6: 0x004AB3B0  AcceptBattlefieldPort
    7: 0x004AB4A0  GetBattlefieldStatus
    8: 0x004AB620  GetBattlefieldPortExpiration
    9: 0x004AB6D0  GetBattlefieldInstanceExpiration
   10: 0x004AB730  GetBattlefieldInstanceRunTime
   11: 0x004AB790  GetBattlefieldEstimatedWaitTime
   12: 0x004AB820  GetBattlefieldTimeWaited
   13: 0x004AB2F0  CloseBattlefield
   14: 0x004AB8C0  ShowBattlefieldList
   15: 0x004AB990  RequestBattlefieldScoreData
   16: 0x004AB9A0  GetNumBattlefieldScores
   17: 0x004AB9D0  GetBattlefieldScore
   18: 0x004ABC40  GetBattlefieldWinner
   19: 0x004ABC90  SetBattlefieldScoreFaction
   20: 0x004ABE60  LeaveBattlefield
   21: 0x004ABCD0  GetNumBattlefieldStats
   22: 0x004ABD00  GetBattlefieldStatInfo
   23: 0x004ABDC0  GetBattlefieldStatData
   24: 0x004ABEF0  RequestBattlefieldPositions
   25: 0x004ABF00  GetNumBattlefieldPositions
   26: 0x004ABF90  GetBattlefieldPosition
   27: 0x004AC1C0  GetNumBattlefieldFlagPositions
   28: 0x004AC230  GetBattlefieldFlagPosition
   29: 0x004AC380  CanJoinBattlefieldAsGroup
   30: 0x004AC3D0  GetBattlefieldMapIconScale

=== Loop @ 0x004AFEEF  Table 0x00845EB0  Count=30 ===
    0: 0x004ADED0  CloseMail
    1: 0x004ADEE0  ClearSendMail
    2: 0x004ADEF0  ClickSendMailItemButton
    3: 0x004AE0F0  SetSendMailMoney
    4: 0x004AE150  GetSendMailMoney
    5: 0x004AE180  SetSendMailCOD
    6: 0x004AE1C0  GetSendMailCOD
