   36: 0x00798E60  ClearFocus
   37: 0x00798F30  SetMaxBytes
   38: 0x00799040  GetMaxBytes
   39: 0x00799110  SetMaxLetters
   40: 0x00799200  GetMaxLetters
   41: 0x007992C0  GetNumLetters
   42: 0x00799390  GetHistoryLines
   43: 0x00799450  SetHistoryLines
   44: 0x00799550  GetInputLanguage
   45: 0x00799610  ToggleInputLanguage
   46: 0x007996E0  SetAltArrowKeyMode
   47: 0x00799790  GetAltArrowKeyMode

=== Table 0x0087BF74  Count=6  Ctx=0x00CF53B4 ===
    0: 0x00799BF0  SetChecked
    1: 0x00799CA0  GetChecked
    2: 0x00799D60  GetCheckedTexture
    3: 0x00799E50  SetCheckedTexture
    4: 0x0079A050  GetDisabledCheckedTexture
    5: 0x0079A140  SetDisabledCheckedTexture

=== Table 0x0087C128  Count=22  Ctx=0x00CF5434 ===
    0: 0x0079A6C0  GetDrawLayer
    1: 0x0079A780  SetDrawLayer
    2: 0x0079A890  GetBlendMode
    3: 0x0079A950  SetBlendMode
    4: 0x0079AA50  GetVertexColor
    5: 0x0079ABD0  SetVertexColor
    6: 0x0079AE30  SetGradient
    7: 0x0079B180  SetGradientAlpha
    8: 0x0079B580  SetAlpha
    9: 0x0079B690  GetAlpha
   10: 0x0079B770  Show
   11: 0x0079B830  Hide
   12: 0x0079B8F0  IsVisible
   13: 0x0079B9B0  IsShown
   14: 0x0079BA70  GetTexture
   15: 0x0079BB40  SetTexture
   16: 0x0079BDF0  GetTexCoord
   17: 0x0079BEB0  SetTexCoord
   18: 0x0079C080  SetTexCoordModifiesRect
   19: 0x0079C120  GetTexCoordModifiesRect
   20: 0x0079C1E0  SetDesaturated
   21: 0x0079C2C0  IsDesaturated

=== Table 0x0087C1D8  Count=32  Ctx=0x00CF5400 ===
    0: 0x0079C660  GetDrawLayer
    1: 0x0079C720  SetDrawLayer
    2: 0x0079C830  SetVertexColor
    3: 0x0079CA90  GetAlpha
    4: 0x0079CB70  SetAlpha
    5: 0x0079CC80  SetAlphaGradient
    6: 0x0079CDB0  Show
    7: 0x0079CE70  Hide
    8: 0x0079CF30  IsVisible
    9: 0x0079CFF0  IsShown
   10: 0x0079D0B0  GetFontObject
   11: 0x0079D1A0  SetFontObject
   12: 0x0079D400  GetFont
   13: 0x0079D4F0  SetFont
   14: 0x0079D690  GetText
   15: 0x0079D760  SetText
   16: 0x0079D840  GetTextColor
   17: 0x0079D9C0  SetTextColor
   18: 0x0079DBE0  GetShadowColor
   19: 0x0079DD40  SetShadowColor
   20: 0x0079DF60  GetShadowOffset
   21: 0x0079E070  SetShadowOffset
   22: 0x0079E1D0  GetSpacing
   23: 0x0079E2B0  SetSpacing
   24: 0x0079E3C0  SetTextHeight
   25: 0x0079E510  GetStringWidth
   26: 0x0079E5F0  GetJustifyH
   27: 0x0079E6B0  SetJustifyH
   28: 0x0079E7F0  GetJustifyV
   29: 0x0079E8B0  SetJustifyV
   30: 0x0079E9F0  SetNonSpaceWrap
   31: 0x0079EAD0  CanNonSpaceWrap

=== Table 0x0087C7C8  Count=22  Ctx=0x00CF546C ===
    0: 0x0079FDA0  GetObjectType
    1: 0x0079FE60  IsObjectType
    2: 0x0079FF60  GetName
    3: 0x007A0030  SetFontObject
    4: 0x007A00F0  GetFontObject
    5: 0x007A01B0  CopyFontObject
    6: 0x007A0270  SetFont
    7: 0x007A0330  GetFont
    8: 0x007A03F0  SetAlpha
    9: 0x007A04B0  GetAlpha
   10: 0x007A0570  SetTextColor
   11: 0x007A0630  GetTextColor
   12: 0x007A06F0  SetShadowColor
   13: 0x007A07B0  GetShadowColor
   14: 0x007A0870  SetShadowOffset
   15: 0x007A0930  GetShadowOffset
   16: 0x007A09F0  SetSpacing
   17: 0x007A0AB0  GetSpacing
   18: 0x007A0B70  SetJustifyH
   19: 0x007A0C30  GetJustifyH
   20: 0x007A0CF0  SetJustifyV
   21: 0x007A0DB0  GetJustifyV

=== Table 0x0087C9B8  Count=19  Ctx=0x00CF54B4 ===
    0: 0x007A11D0  GetObjectType
    1: 0x007A1290  IsObjectType
    2: 0x007A1390  GetName
    3: 0x007A1460  GetParent
    4: 0x007A1550  SetParent
    5: 0x007A1810  GetCenter
    6: 0x007A1980  GetLeft
    7: 0x007A1AA0  GetRight
    8: 0x007A1BC0  GetTop
    9: 0x007A1CE0  GetBottom
   10: 0x007A1E00  GetWidth
   11: 0x007A1F20  SetWidth
   12: 0x007A2030  GetHeight
   13: 0x007A2150  SetHeight
   14: 0x007A2260  GetNumPoints
   15: 0x007A2340  GetPoint
   16: 0x007A2540  SetPoint
   17: 0x007A2940  SetAllPoints
   18: 0x007A2B70  ClearAllPoints


