=== Table 0x00AC3E00  Count=113 ===
  146: 0x00516580  GetSummonConfirmAreaName
  147: 0x0051B050  ConfirmSummon
  148: 0x0051B110  CancelSummon
  149: 0x00510A10  GetCursorPosition
  150: 0x00510AC0  GetNetStats
  151: 0x0051B1D0  SitStandOrDescendStart
  152: 0x00524980  StopCinematic
  153: 0x00510B30  RunScript
  154: 0x0051B240  CheckInteractDistance
  155: 0x00516610  RandomRoll
  156: 0x005166F0  OpeningCinematic
  157: 0x00516760  InCinematic
  158: 0x004DCE40  IsWindowsClient
  159: 0x00510B90  IsMacClient
  160: 0x00510B90  IsLinuxClient
  161: 0x0051B6A0  AcceptXPLoss
  162: 0x0051B6E0  CheckSpiritHealerDist
  163: 0x0051B740  CheckTalentMasterDist
  164: 0x0051B7A0  CheckBinderDist
  165: 0x0051B800  RetrieveCorpse
  166: 0x00522F70  BindEnchant
  167: 0x005167A0  ReplaceEnchant
  168: 0x00510B80  ReplaceTradeEnchant
  169: 0x00522F90  NotWhileDeadError
  170: 0x0051B8B0  GetRestState
  171: 0x0051B960  GetXPExhaustion
  172: 0x00510B90  GetTimeToWellRested
  173: 0x00510BB0  GMRequestPlayerInfo
  174: 0x00510BD0  GetCoinIcon
  175: 0x00510C60  GetCoinText
  176: 0x00510D00  GetCoinTextureString
  177: 0x005167E0  IsSubZonePVPPOI
  178: 0x0051BA50  GetZonePVPInfo
  179: 0x00516840  TogglePVP
  180: 0x005168B0  SetPVP
  181: 0x0051BCA0  GetPVPDesired
  182: 0x0051BD00  GetPVPTimer
  183: 0x0051BD60  IsPVPTimerRunning
  184: 0x00510DB0  ConfirmBindOnUse
  185: 0x00516970  SetPortraitToTexture
  186: 0x004DBFD0  GetLocale
  187: 0x00516AA0  GetGMTicketCategories
  188: 0x0051BDD0  DropItemOnUnit
  189: 0x004DD400  RestartGx
  190: 0x00510DC0  RestoreVideoResolutionDefaults
  191: 0x00510DD0  RestoreVideoEffectsDefaults
  192: 0x004DD420  RestoreVideoStereoDefaults
  193: 0x00516B20  GetBindLocation
  194: 0x0051BF50  ConfirmTalentWipe
  195: 0x0051BF90  ConfirmBinder
  196: 0x0051BFD0  ShowingHelm
  197: 0x0051C040  ShowingCloak
  198: 0x0051C0B0  ShowHelm
  199: 0x0051C100  ShowCloak
  200: 0x00510DE0  SetEuropeanNumbers
  201: 0x00516B90  GetAreaSpiritHealerTime
  202: 0x005262D0  AcceptAreaSpiritHeal
  203: 0x00522FA0  CancelAreaSpiritHeal
  204: 0x00516BF0  GetMouseFocus
  205: 0x00510E00  GetRealmName
  206: 0x00510E20  GetItemQualityColor
  207: 0x00516C60  GetItemInfo
  208: 0x0051C150  GetItemGem
  209: 0x008E5250  GetExtendedItemInfo
  210: 0x00517020  GetItemIcon
  211: 0x00510F20  GetItemFamily
